Symbol,HV_30d
TTD,1.4968269268515524
ALGN,1.381796882360782
PARA,1.1055860914607474
IT,0.976403353169218
FTNT,0.8114251053640983
BAX,0.8002746817741287
IDXX,0.795039837205716
SMCI,0.7868099721222861
DAY,0.7703903557844161
MOH,0.7367601671724605
VRTX,0.7261181523798476
DOW,0.7190750076989597
ALB,0.7080263352491601
SHOP,0.702554523906768
WST,0.6965902578262252
ENPH,0.6881474184879882
EMN,0.6831547169801612
CHTR,0.6665769695448598
COIN,0.6579889914087643
AXON,0.6491779169830018
ON,0.6357284064850407
LKQ,0.6352944804686543
TER,0.6148007947590354
GNRC,0.6118728063383534
TPR,0.6090483545281817
APP,0.6037601886926984
ELV,0.5860730947023279
LYB,0.5758332616528751
LLY,0.5695776049585174
UNH,0.5683388004216974
UAL,0.5646156634072397
DHI,0.5639574420794089
INTC,0.5617128139053916
IQV,0.5589691709868825
ANET,0.55503975383628
CNC,0.5522912323502274
MSTR,0.5514224216973608
LW,0.5430037200841926
FSLR,0.5404238370476633
EBAY,0.5389419706097991
NRG,0.5339099940706478
WAT,0.5330306244475704
ARM,0.5319427048262149
MRNA,0.5313713207631285
CHRW,0.5266836466553271
TEAM,0.5126153244772889
LUV,0.5096287033876601
TECH,0.5067809573810395
MOS,0.5067321333294148
CRL,0.5054211493727248
DAL,0.4983183631477145
IVZ,0.4956514011541011
GEV,0.4950854327246296
WBD,0.49494718787220454
DECK,0.4938760557643851
PLTR,0.4927593587413015
BLDR,0.48773876256512444
TXN,0.48393190718546053
AMD,0.48381565559606227
HUM,0.4779188223064966
CMG,0.47360625431127135
IP,0.47241404575645723
ZBRA,0.4720064413617547
FI,0.47025123316435297
MU,0.450312605855149
MPWR,0.44839217279815335
RVTY,0.447298610278962
PHM,0.4454082615627181
IR,0.44475808176521453
GPN,0.44322768675247703
EQT,0.4427046347527494
ODFL,0.44090829852818286
MRVL,0.43913701391214305
NCLH,0.4373532435485407
PANW,0.43059396948664985
OTIS,0.4271206860243276
VST,0.42702860546942933
EL,0.4260777300587742
IEX,0.42296311677180404
GDDY,0.4209062801969267
TPL,0.42050380626093464
TSLA,0.4197637534904107
CARR,0.41443473641883
CZR,0.4137948039277087
TDG,0.41329687936794673
MTCH,0.41030493148477
