Symbol,HV_30d
HUBB,0.2717109702192471
GPC,0.27143587340820985
CCL,0.2711898707825119
OKE,0.2703510602499702
FFIV,0.26991948628328427
BLK,0.26959627787478146
PCG,0.2692502785035104
HCA,0.26908952179865697
PSX,0.26891869248654715
FANG,0.26884245497855874
EXPD,0.26876633611725836
HSY,0.2685008801163732
AJG,0.26794670150209726
NEE,0.26794615064197924
KVUE,0.2677087171427124
MDLZ,0.2670404366618796
CRM,0.26638393962695345
CMCSA,0.26522746585259244
INTU,0.26521551112148734
OXY,0.2647941800649277
AOS,0.26431785112540784
DVN,0.2631459139144767
MCK,0.26298051738744616
CDW,0.2625829863862862
KEYS,0.2621193198861725
MMM,0.2620181836976843
RF,0.26167097127064404
PLD,0.2614819681436142
YUM,0.2613068955526474
MRK,0.26114359897410255
AMGN,0.26111377697985244
TTWO,0.2602590640631449
DPZ,0.2602488861553205
HPQ,0.2598114147708487
SBAC,0.25893010450768467
STE,0.2589071050485021
VRSK,0.25890501489228096
BR,0.2586559759422505
LDOS,0.2584424527336133
NVDA,0.2582418801909783
LOW,0.2581607228413294
COO,0.25812514171868767
PCAR,0.2577666599428145
SYF,0.2573412723503894
UBER,0.2571220565740196
COF,0.256572666484941
ALL,0.2561712467953614
EW,0.2543090302493062
AVB,0.2539893214699555
WAB,0.2537100708702964
CCI,0.2536082322970019
PPG,0.2519057218542583
AAPL,0.25170557937522353
NKE,0.2514183132368838
ADM,0.2506965475379857
C,0.24999972598942496
SWKS,0.24992765510956122
CPB,0.24941967287182173
MPC,0.24847740652632735
ROK,0.24814160088659437
ADBE,0.2480898552381133
SOLV,0.24748958826993436
FTV,0.24727497163604173
MELI,0.24726423678289633
DD,0.24704348762463293
PSA,0.24652688561645292
MET,0.24545846337022614
APH,0.2440469765935237
AMP,0.24350165551496927
CINF,0.24346566780551265
LYV,0.2418672838094338
ZTS,0.24121247123943595
PFG,0.2411702086594912
AMT,0.24094110939880192
CAG,0.24037614838719443
JNPR,0.23956099154017985
TMUS,0.2394595688563307
DG,0.23937466915354552
TRGP,0.2380874357126652
ANSS,0.23785722965905393
AON,0.23780852515401427
PRU,0.2359097516592905
PH,0.2352603385144949
TROW,0.2349038260035017
ROST,0.2342824123068534
PWR,0.2339583759374135
JKHY,0.23372099241108607
WYNN,0.2335023078446007
CTSH,0.23328660326650294
KR,0.23301018059428455
BA,0.23291551306525407
CMI,0.23251514461686854
MLM,0.2320802437703508
TSCO,0.23130453098110457
UNP,0.23102323045464418
TAP,0.23072939897110567
RJF,0.2305655791212888
KMI,0.22984050684406998
CSCO,0.22906610339876143
KIM,0.22904962192484343
SJM,0.22828558438100513
ACGL,0.22824510697530986
EQR,0.2278522249263077
RMD,0.22753102255293992
AWK,0.22727573444550284
HES,0.22717757315760959
EIX,0.226320535061782
EMR,0.22576928499338608
NDSN,0.2245806155706892
CLX,0.22452112705892782
ERIE,0.2244018283057714
HD,0.22424038844623606
HON,0.2237682123302567
JNJ,0.22312282695278365
GE,0.2230450610720735
F,0.22278237049791436
BEN,0.22254235988473414
NTRS,0.22209698176476958
MAA,0.22166111219676266
CPT,0.2205827927589706
PNR,0.22021736265187183
FDS,0.22015573934522975
HBAN,0.22001213141142034
NTAP,0.21944884554341024
J,0.21899309327242253
COR,0.21863846486075542
TSN,0.21829433732197281
MTB,0.2181974028376119
KMB,0.21710847622122045
CFG,0.21701672984573833
HST,0.215665520683959
MAR,0.21524409528202162
RSG,0.21508448479089987
AXP,0.21507085997711645
WTW,0.21426384727028655
SCHW,0.21283406772509145
KEY,0.212775297655005
TRV,0.21171179040788252
PAYX,0.211568084960982
DOV,0.2106534005149669
ULTA,0.2106493075710253
TRMB,0.21061415683854826
ABBV,0.20961633770122037
CAT,0.20918425427565948
NDAQ,0.20900774080408782
SYY,0.20894561113905305
BAC,0.208454614717967
LVS,0.20841299138257716
NSC,0.2080105674820572
GD,0.20728005516453415
CSX,0.2072761700986702
HLT,0.20621788478452432
AME,0.2053712289539889
AZO,0.20534200021499863
HRL,0.20510132820610602
BSX,0.204878951712993
AVY,0.20485886515044519
SPG,0.20321737576187027
GS,0.20314275710552088
SHW,0.20308957586141874
PKG,0.20305206874594056
UDR,0.20228160389103259
FAST,0.20191997412789048
FRT,0.20180916311440347
HOLX,0.20106583795132163
COP,0.20084271005263032
MDT,0.200401127170364
O,0.20012480846347053
PGR,0.1999346478065351
KDP,0.19991590390045397
REG,0.19953871295174533
VMC,0.19834893714475263
HIG,0.19775065133505587
WELL,0.19750076110996406
ISRG,0.19735064067055477
TFC,0.19731434955534685
HAS,0.1971522227122959
PEG,0.19699734059861734
EG,0.1969817492613791
DIS,0.19645960544001323
USB,0.19430493541417326
WMB,0.19374690122148203
AFL,0.19360375889232873
INVH,0.19290201548251706
CBOE,0.19286397576894154
SYK,0.1922489878896072
ORLY,0.19054540706673875
DLTR,0.19030676771199997
ROL,0.18926682445706072
GIS,0.1891298280957711
CHD,0.18879137582890754
AIG,0.1878450258706267
MCO,0.187549117501032
VICI,0.18681793756829038
GOOGL,0.18606303414785827
EOG,0.1853403829705952
BKNG,0.1851948685582907
SPGI,0.18513535494105995
RTX,0.1849721093279257
WM,0.18471785725783096
APD,0.1844059086620513
GOOG,0.18386884664604825
CTAS,0.18321194291836151
MSFT,0.18296121344988409
PNW,0.1822483047692018
ITW,0.18189785516796683
MS,0.18184126130578213
CPRT,0.1797130584745493
CNP,0.17913193602885322
SRE,0.178647428594992
AEP,0.17837600434408535
NI,0.178130020186924
WMT,0.17811952796633546
MKC,0.17689436938155184
XOM,0.17637239526350687
TDY,0.1760781030755689
D,0.17593737124783188
CME,0.17558862686849883
CTVA,0.17497920807404463
ECL,0.17486351881644535
PPL,0.17345213498893552
CL,0.17317921688969581
ETR,0.17173730219288305
TJX,0.17159522173501907
DRI,0.17092047423223436
CVX,0.17069842417710732
NWSA,0.17046225117740482
FITB,0.17033953806509786
BK,0.1701312267796806
DLR,0.16973035498115147
EXC,0.16972133189658473
EQIX,0.16967214638562667
MO,0.1691597225879626
VLTO,0.16771628503094432
NWS,0.167069202326434
ATO,0.16659381908019083
CB,0.16580723866937505
LNT,0.16514778125206517
V,0.16483519210154718
ROP,0.1638324402129718
PG,0.16373575784551062
MCD,0.16369257482125008
ES,0.16368823555913847
VZ,0.16343431251349233
WRB,0.16217903506577033
MMC,0.16156162805632668
JPM,0.16124016885994116
PNC,0.16106367113534653
DTE,0.1596531738746732
ADP,0.1594589241589055
L,0.15826963063042837
VTR,0.15679955820606997
XEL,0.15530645428293088
COST,0.15496624243418505
EVRG,0.1545698534793089
MA,0.1540498017075297
BRK-B,0.15377185951123062
MSI,0.15364643766752772
AEE,0.15218503358388652
WEC,0.15072645298236348
CMS,0.14827073427792922
KO,0.14803134138128843
T,0.14685417230605569
ICE,0.14605990197547822
ED,0.14518673730835843
DUK,0.144348206906219
FE,0.139015140225922
LHX,0.1296068068588829
SO,0.1257402704681456
LIN,0.11948435813673779
WBA,0.07074592356417683
K,0.04003140877375441
